Title,Location,Company,Salary,Sponsored,Description,salary_min,salary_max,python_sk,spark_sk,tableau_sk,aws_sk,excel_sk,power_sk,numpy_sk,opencv_sk,pandas_sk,nltk_sk,machine_sk,deep_sk,statistics_sk,sql_sk,tensorflow_sk,job_simp1,seniority,loc_simp1,desc_len,avg_salary
Data Management Executive,"Chennai, Tamil Nadu",Marudhar Tanchem Pvt Ltd,"₹18,000 - ₹25,000 a month",Organic,"Proven experience as Data Management.
Excellent understanding of data administration and management functions (collection, analysis, distribution etc.)
Familiarity with modern database and information system technologies
Proficient in MS Excel ( Knowledge in Macros will be advantage)
Knowledge in Google Sheet will be of higher advantage
An analytical mindset with problem-solving skills
Excellent communication and collaboration skills
BSc/BA in Maths or computer science or relevant field
Job Type: Full-time
Salary: ₹18,000.00 - ₹25,000.00 per month
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Diploma (Preferred)
Work Remotely:
No",216000.0,300000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,Chennai,672,258000.0
Job Opening for Kubernetes Developer(C++)-Pune (Baner)!,"Pune, Maharashtra",Talent Corner Hr Services Private Limited,"₹15,00,000 - ₹30,00,000 a year",Organic,"Here is the Job Description:


Role: Kubernetes Developer(C++)-Pune (Baner)!


We are open to hiring candidates PAN India but will have to relocate to Pune once the current state of affairs(Covid-19) recuperate.


Pre-requisite: Candidate must have a high end personal laptop, High speed broadband connectivity and stable power supply for work from home


Experience: 5-10 years

Education: Any Graduate/B.E/B.Tech/MCA/M.Tech

Location: Pune(Baner)

Work Remotely: Due to COVID-19(Interim)

Working Days: Monday to Friday(5 days working)




Roles and Responsibilities:


Requirement for Kubernetes Developer:


Graduate or higher in computer science degree

Really needs to be C++ hands-on, with coding in C++ for two or more years.

At least two recent big projects (4+ months) in the virtualization/cloud area (not just usage of technology for the product but project itself for it).

Good in Data Structures/Algorithms.

Knowledge of these is a big plus:

Design patterns

Kubernetes

One or more clouds (like any cloud certification etc. is also a big plus)



Ready to join ASAP (lesser the notice period, better it is)

Excited to work in a startup environment

5.00-15.00 Years",1500000.0,3000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na,Pune,1185,2250000.0
Artificial Intelligence (AI) Internship,"Bengaluru, Karnataka",Kero Labs,"₹5,000 - ₹10,000 a month",Organic,"About the company:
Kero started as an initiative to bring artificial intelligence to machines. We are an artificial general intelligence based robotics company in India. We aim to automate repetitive tasks and processes in various industries thereby enhancing the performance and speed of machines, maintaining consistent quality of products and creating smart automated systems. We use machine learning and deep learning algorithms to train machines which can learn and perform intelligently.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working on data preparation 2. Working on language modeling and GAN network modelling 3. Training deep learning models and deploying them
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 8th Aug'20 and 12th Sep'20
are available for duration of 3 months
have already graduated or are currently in any year of study
are from Bangalore and neighboring cities
Females willing to start/restart their career may also apply
Number of internships/jobs available: 5
Categories: Artificial Intelligence (AI),Computer Science,Engineering",60000.0,120000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,na,intern,Bengaluru,1236,90000.0
Vice President - Technology,"Hyderabad, Telangana",Insurance Information Bureau of India,"₹25,00,000 - ₹30,00,000 a year",Organic,"Responsibilities of the Job:
We are an organisation of Data Repository. We handle huge data and provide services to the stake holders through web services and applications. It is totally Technology driven.
The candidate should be responsible for taking care of the overall IT operations, Project Controls, Review of IT Architecture in line with the business requirements.
He should manage the IT infrastructure through Vendors such as Managed Service Providers, monitoring and managing the Vendors for applications development/ maintenance etc.
Ensure all services and applications available round the clock.
Reviewing and entering into the SLAs with vendors.Taking care of the IT Security concerns.
He will be responsible for the overall Technology requirements of the Bureau and will be reporting to CEO.
Experience and Skills required :
He should have more than 12 years experience, out of which at least 3 years should have been as Head - Technology.
Should be a First class Bachelors/Post Graduation with Computer Science/ Applications.
He should have exposure with technologies like Linux, Windows Server, JAVA/J2EE, .Net, My SQL, No SQL databases and ETL tools.
He should have exposure in Server administration, Net working, Configurations, Connectivity and client set up activities etc.
He should have experience in Application support/maintenance and management.
He should have significant development and delivery experience in leading large projects.
He should have hands on coding experience in popular languages and in web stacks.
Experience of implementing robust IT Security, security protocols and policy implementation.
Proficient in vendor identification and management.
Experience of managing relationship with preferred partners for IT delivery and operational support.
He should have excellent Communication and interpersonal Skills.
Job Type: Full-time
Salary: ₹2,500,000.00 - ₹3,000,000.00 per year
Experience:
work: 10 years (Required)
Head of Technology : 3 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
No
Speak with the employer
+91 9866020663",2500000.0,3000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,na,na,Hyderabad,2089,2750000.0
Deep Learning Engineer,"Bengaluru, Karnataka",Radius AI,"₹30,00,000 a year",Organic,"About Us:
RadiusAI is an early-stage startup that is helping brick & mortar retailers provide a level of experience that surpasses online experiences through AI and video analytics.
About You:
You are driven and passionate about data and making a difference. You are looking to join a promising early-stage startup to have a deep impact. You understand code quality and can take initiatives to improve it. You are always curious, and you are humble about what you already know.
About the Job:
You will work with state-of-the-art technologies at the interface between our engineering and data science teams. You will be responsible for mapping images from a surveillance camera system to a 3D representation, processing and conditioning images for machine learning and developing context and scene understanding algorithms.
Requirements
Masters or PhD preferably in STEM field
Experience with distributed computing
Experience with solving real world problems using bayesian models and statistics
Experience with open source development
Doesn't believe that knowledge has boundaries",3000000.0,3000000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,na,na,Bengaluru,1080,3000000.0
Digital Marketing Specialist,"Agra, Uttar Pradesh",Foodville Overseas Pvt Ltd,"₹1,50,000 - ₹2,00,000 a year",Organic,"Role: Digital Marketing Expert (Social Media)
Responsible to: Product/Sales Manager
Keywords: Digital marketing, social media marketing, Analytics, Funnel, Growth hacking, Organic Growth hacks, partnerships.
Role and Responsibilities:
Manage social media marketing campaigns and day-to-day activities including: Develop relevant content topics to reach the company's target customers
Develop and Implement the Brand promotion and Marketing strategy as per requirements
Create, curate, and manage all published content (images, video and written)
Manage and optimise acquisition channels with double digit growth month on month
Experienced in using analytics across social, and measurement tools across site and app - Campaign Tracking, Marketing Dashboards
Should be adept in working with data stacks, in analysing trends on an ongoing basis & understand the science from data/user behaviour/funnels to leverage for growth
Key Responsibilities:
Devising strategies to drive online traffic to the company website.
Tracking conversion rates and making improvements to the website.
Managing the redesign of the company website.
Improving the usability, design, content, and conversion of the company website
Responsibility for budgetary control of all digital marketing activities.
Utilizing a range of techniques including paid search, SEO, and PPC.
Assisting in planning social media strategy for the company.
Review new technologies and keep the company at the forefront of developments in digital marketing.
Digital Creative Management :
- Content Creation
Media :
- Managing digital media budgets, earned media, targeting
- SEO, SEM, Precision Targeting - Media efficiency, Productivity
Qualifications:
1) Expertise in digital marketing
2) Expertise in social media: both organic and paid.
3) Deep knowledge of driving organic and direct traffic and improving the same exponentially driven by innovation.
4) Minimum 1-2 year of work experience
5) Good in content writing
6) Acumen of designing
Job Type: Full-time
Salary: ₹150,000.00 - ₹200,000.00 per year
Experience:
Digital Marketing: 1 year (Required)
work: 2 years (Preferred)
Education:
Bachelor's (Required)",150000.0,200000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,na,na,Agra,2166,175000.0
Electronic Data Interchange Specialist,"Hyderabad, Telangana",Jardens Capability Developers,"₹6,00,000 - ₹10,00,000 a year",Organic,"JARdens Capability Developers along with our prestigious client is currently seeking an EDI Specialist to join their team and help build a strong presence in the market. To be successful in this role, you should have expertise with EDI Technologies, data mapping, mailbox setup, communications and security setups.
Job Summary
The main objective of the EDI specialist is to create, coordinate, execute, and deal with all EDI related developments for the company.
They must accomplish all EDI upgrades, implementations, and EDI testing and also should play a significant role between business and trading partners.
You will be responsible for design and examine specifications for the latest upgrades and extensions in the EDI interface, mappings, and applications.
Maintaining a healthy relationship with the trading partners, analysing exchanged data, following data records, and revising issues.
Working with all trading partners to decide the sort of information they might want to exchange and provide guidelines and details for data exchange.
Receive EDI data and ensure successful integration of data to interface and application files and to trading partner mailboxes
Develops and ensures that sufficient audit and control procedures are in place
Should be able to work with the other employees to support accurate data exchange within the company.
Must help with any testing to find out the received message and submit updates to the superior.
Excellent multitasking and interpersonal skills are mandatory. The ability to read, analytical skills and understanding complex technical documents is necessary.
Skills and Qualifications
Minimum Graduation with a computer science background is mandatory.
Experience - Minimum 3 to 10 years’ hands-on development experience with EDI technologies is mandatory.
Working knowledge of EDI translation software packages
Solid understanding of EDI standards and expertise in data mapping
General knowledge of communication standards
Experience with VANs, ISPs and Internet security packages
Must have a positive attitude and outlook.
Ability to multitask and quickly adapt to new technology and terminology.
Ability to work individually as well as in a team environment.
Job Type: Full-time
Salary: ₹600,000.00 - ₹1,000,000.00 per year
COVID-19 considerations:
The company has an option of working from home during this pandemic and also interviews would be Telephonic or Video.
Experience:
EDI Technology: 4 years (Required)
total work: 4 years (Required)
Education:
Bachelor's (Required)
Location:
Hyderabad, Telangana (Required)
Language:
English (Required)",600000.0,1000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,Hyderabad,2606,800000.0
Associate Consultant-VAPT,"Bengaluru, Karnataka",SISA Information Security,"₹6,00,000 a year",Organic,"Company Description:
SISA is a leading cyber security company across multiple geographies. We are involved in either proactive, detective and/or corrective security of at least 6 of 10 payment data transactions globally. Started in 2007, with over 500 customers in over 30+ countries, SISA is one of the fastest growing cyber security companies in the world. Our 200+ employees include information security specialists, technology experts, sales strategists and backbone staff. SISA culture is considered key to our success and can be characterized as merit oriented, performance focused and feedback driven. For more details, do visit us at www.sisainfosec.com.
Mission: This role collaborates with other Information Security and IT Operational teams to maintain a secure environment and for incident response capabilities.
Roles & Responsibilities:
Hands on experience with Vulnerability Assessment and Penetration testing of thick & thin client based applications, Operating systems, edge devices and firewalls.
Perform periodically system and application VAPT (Vulnerability Assessment and Penetration Testing) using automated and manual approach
Perform asset and network discovery activities, helping ensure full coverage of the vulnerability discovery.
Prioritizing remediation activities with operational teams through risk ratings of vulnerabilities and asset
· Research, recommend, evaluate and implement information security solutions that identify and and/ or protect against potential threats, and respond to security violations, misuse of resources or noncompliance situations using defined escalation processes
· Strong Experience of using open-source tools and commercials tools such as but not limited to Burp Suite, Metasploit, Nessus, Acunetix, Checkmarx, and Nexpose with operating systems Windows and Linux.
Expertise and experience of conducting VAPT (Vulnerability Assessment and Penetration Testing) as per standards such as OWASP Top 10, SANS Top 25 and WASC, NIST.
Perform research on new vulnerabilities, attack vectors, exploits, tools and industry trends for the above-mentioned services
· Provide offsite and on-site consulting services to our customers.
Education Qualification
· Bachelor of Engineering(BE) - Computer Science(CS) / Information Science(IS), Bachelor in Computer Application (BCA), Masters in Computer Application(MCA), Masters of Technology (M Tech) , Masters in Computer science and Information Science, Masters in Forensic analysis / Cybersecurity.
Key Skills:
Networking concepts and Network Security concepts
Information security concepts
Data Analysis
Linux and troubleshooting and domain knowledge
Windows and troubleshooting and domain knowledge
Personal Attributes:
· Excellent verbal and email Communication Skills
· Ability to effectively handle difficult situations.
· Able to prioritize and execute tasks in a high-pressure environment.
· Keen attention to detail.
· Problem-solving skills
· Relationship-Management Skills
Job Type: Full-time
Pay: ₹600,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",600000.0,600000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,Bengaluru,3140,600000.0
E-commerce Product Listing Specialist,"Varanasi, Uttar Pradesh",Shoppingkart24.com,"₹10,000 a month",Organic,"The eCommerce Product Listing Specialist is responsible for managing 2000+ listings, maintaining and creating new product listings and database by coordinating with other internal and external team members to obtain optimal content writing, product images, graphic design assets, and product data.
Responsibilities:
Organize and manage product information database (texts and images).
Compile product listing details (i.e. description, price, category, etc.).
Collect and organize product images from the company server and photo library.
Communicate with other departments and external third parties on E-commerce contents requirement.
Produce high quality written content with the proper use of English grammar.
Stay up-to-date on product catalog for items newly added, revamped and/or discontinued.
Manipulate a large amount of data (in Excel) for updating product listings.
Monitor listings both front-end and back-end to better enhance product description and visibility.
Knowledge/experience, skills, ability & attitude:
Strong attention to detail and strong time management skills.
Ability to work independently while following overall management strategy.
Strong communication skills, particularly in writing.
Experience with content writing and/or copywriting is a huge plus.
Ability to work quickly and effectively in a high-volume and time-sensitive situation.
Willingness to perform repetitive processes and manual tasks involving data organization.
Highly proficient with MS Excel/Word/Powerpoint.
Ability to deliver high-quality outcomes from start to finish.
A true commitment to excellence and full ownership of their own responsibilities.
Bachelor’s degree in Communication / English / Social Sciences preferred.
Job Types: Full-time, Contract, Walk-In
Salary: Up to ₹10,000.00 per month
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
No",120000.0,120000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,na,na,na,1898,120000.0
Technical Support Engineer,"Mumbai, Maharashtra",Jampot Pvt. Ltd,"₹1,00,000 - ₹3,00,000 a year",Organic,"Functional Area Other
Industry Type Telcom-ISP
Keywords Technical support,Networking,German,French,Spanish,ERP,Continuous improvement,Telecommunication,Computer science,STP
Technical Support Engineer (Fresher) Just type and press 'enter' Careers Home Careers ERP Support Specialist (Language: French) ERP Support Specialist (Languages: Spanish/French/Italian/German English) Technical Support Engineer (Fresher) Designation: Technical Support Engineer (Fresher) Industry IT Support telecommunication Vacancy: Multiple Experience: 0- 1 Years relevant experience

Work Location: Mumbai Salary: As per Industry standard Education Qualification: B.SC/Diploma/BE in IT/Telecommunication/Computer Science Certifications in Radio, Voice, Data Networking Responsibilities: Plan and deploy upgrades to fulfil compliance, security or capacity requirements Design, test and implement news solutions for product under its direct responsibility Work in close relationship with other IT teams to ensure client requirement and expectation are mutually agreed Deliver continuous improvement of the products under its direct responsibility (efficiency, new features, self-service, ) Support production platforms across all products under the departments responsibility (include Support, Weekend operation) Desired skills: Cisco Certified Network Associate Certification Cisco Certified Network Professional or Voice Collaboration Certification Global orientation and Process oriented.

Ability to stay focused and Open to work in 24X7 shifts if required.

Intermediate level experience in handling Cisco IP telephony Network Infrastructure.

Basic Understanding of concepts: OSI and TCP/IP Model, VTP, STP, Ether channel, HSRP, Routing Protocols, etc.

Intermediate understanding of switching VLAN, Voice VLAN, Inter Vlan routing, PoE etc.

Soft skills: Ability to think analytically while working in a high-volume work environment Able to easily communicate complex concepts and instructions to non-technical end-users Knowledge and understanding of network designs and concepts Ability to technical knowledge to troubleshoot Documentation on Presentation Skills with excellent Communication skills
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",100000.0,300000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,Mumbai,2372,200000.0
"Big Data Engineer (Hadoop, Hive, Elastic search)","Vadodara, Gujarat",AppleTech,"₹30,000 - ₹58,000 a month",Organic,"- Responsible for providing end-to-end Big Data solution.
- At least 3 years experience in the Big Data technologies like NoSQL databases, Hadoop, ElasticSearch, Hive, Spark, etc.
- Formulate data strategy, architecture & roadmap for large big data programs.
- Good understanding of how to make relevant data available for AI/ML.
- Exposure to Data Mining, Data Engineering and Data Modeling.
- Good problem solving skills and independent technical research skills
- Experience with cloud infrastructures and technologies such as AWS or MS Azure.
- Ability to effectively collaborate and communicate with stakeholders from business and IT including specialists from data science and cloud.
Job Type: Full-time
Salary: ₹30,000.00 - ₹58,000.00 per month
Experience:
work: 2 years (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19",360000.0,696000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,data engineer,na,na,907,528000.0
Integration Support Specialist,"Bengaluru, Karnataka",Snaphunt Pte Ltd,"₹41,600 - ₹62,500 a month",Organic,"The Offer
Join a fast-growing and impactful Fintech startup
Work with a product that makes users' lives easier
Opportunity to realise your ideas and shape your own way of working
The Employer
Our client is a banking platform that allows SMEs and startups to open business accounts. In addition to the traditional banking services, they have helped thousands of businesses automate their accounting and manage their expenses. They aim to continue redefining the way SMEs and startups bank as well as deliver a seamless business banking experience
The Job
You will be responsible for :
Providing applications and product support to customer support as well as the sales and service teams.
Taking full ownership of an issue without supervision as well as handling and solving the issue depending on the criticality of the problem.
Identifying product issues and driving the resolution of complex issues.
Working closely with the development team to help resolve the product bugs and deliver solutions.
Replicating the problem in a controlled test environment to isolate the root cause.
Providing full detail in documenting the problem including (when applicable), error logs, screenshots, etc.
Maintaining a state-of-the-art subject matter expertise (SME) on existing and planned technologies, including related products and services.
Proactively sharing knowledge with internal teams by providing new and updated FAQ solution material.
Having a sense of urgency and escalating product issues when appropriate; maintaining a sense of problem ownership to drive all issues to a successful resolution.
Striving to turn around issues with an efficient and effective approach to the highest of customer satisfaction
Building appropriate and useful reporting deliverables
Providing support in the form of procedural documentation.
Managing multiple cases at one time.
Testing and understanding new products.
The Profile
You possess a Degree/Diploma in Computer Science, Engineering or related field.
You have at least 1 year experience in Tech Support, Product Support or similar role.
You have excellent understanding of Microsoft SQL Server
You pay strong attention to detail and deliver work that is of a high standard
You possess strong analytical skills and are comfortable dealing with numerical data
You have the ability to juggle multiple priorities and deliver results on time in a high pressure, dynamic environment.
You are a strong team player who can manage multiple stakeholders
.Ref : 04520001
Job Type: Full-time
Salary: ₹41,600.00 - ₹62,500.00 per month
Work Remotely:
Yes",499200.0,750000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,na,na,Bengaluru,2581,624600.0
Hiring for Azure Data Automation Specialist in Mumbai Locati...,"Mumbai, Maharashtra",Avenues Consulting,"₹10,00,000 - ₹20,00,000 a year",Organic,"Qualification
â€¢Graduate/Post-graduate. Preferably with specialisation in Computer Science, Statistics, Mathematics, Data Science, Engineering or related discipline
â€¢Microsoft Azure certification (good to have)

Experience
â€¢Overall 7-10 years of experience in Azure Data Engineering, Data warehousing and BI projects

Required Competence / Knowledge / Skills (Mandatory)
â€¢Logic Apps
â€¢Azure Functions & Development with Python / C#
â€¢PowerShell Scripting
â€¢Power Apps & Platform
â€¢Azure Data Factory
â€¢Azure Datawarehouse/Synapse
â€¢Azure Data Lake Store
â€¢Power BI (Power BI Desktop, Power BI Service)
â€¢Azure SQL
â€¢Traditional Microsoft BI stack: SSRS / SSAS (Tabular with DAX & OLAP with MDX) / SSIS
â€¢Understanding of Business Intelligence and Data Warehousing concepts and methods
â€¢Good communication skills

7.00-10.00 Years
Bachelor Of Technology (B.Tech/B.E), Master in Computer Application (M.C.A), Masters in Technology (M.Tech/M.E/M.Sc)",1000000.0,2000000.0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,na,na,Mumbai,965,1500000.0
C Developer for Financial Domain,"Mumbai, Maharashtra",HR Devi and Associates,"₹20,00,000 - ₹30,00,000 a year",Organic,"C Developer For Financial Domain
Mumbai


Job Description
we are Looking for a C Developer Responsible for Developing Kernel Modules, Trading Systems, and Libraries for High-level Languages. Your Primary Responsibility Will Be to Study the Apis of These Different Environments and Apply Your C Skills to Develop Modules that are Efficient, Reliable, and Easy to Maintain.
design, Build, and Maintain Efficient, Reusable, and Reliable C Code
implement Performance and Quality Modules
identify Bottlenecks and Bugs, and Devise Solutions to These Problems
help Maintain Code Quality, Organization, and Automatization
strong Proficiency in C, with Fairly Complete Knowledge of the Language Specification
thorough Knowledge of the Standard Library as Specified By Iso and Ansi
strong Knowledge Domain On Financial Trading is Preferable
good Understanding of Memory Management in Non Garbage Collected Environments
knowledge of Low-level Threading Primitives and Real-time Environments
familiarity with System Call Wrapper Library Functions
knowledge of Writing Native Modules for High-level Languages such as Node.js, Python, Go, Etc.
familiarity with Trading Systems Design and Low-level Hardware Interactions.
knowledge of Component Data Sheets and Specifications
familiarity with Language Tools, such as Lint, Valgrind, Etc.
proficient Understanding of Code Versioning Tools {{such as Git, Svn, and Mercurial}}
familiarity with Continuous Integration
Experience
3 - 7 Years

Salary
20 Lac To 30 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
C Language Data Structure Algorithm Development


About Company
Company Name
Quantfarm technology


About Company
Company Introduction QuantFarm is a full-service, enterprise software Innovative AI & Analytics Boutique Consulting Firm. We're Based at Silicon Valley & Pune, India. ... Ds., Data Engineers, Data Scientists & AI Specialists we bring in vast experience of over 20 years in the field of Data Science and AI.

Email ID
swati5547@gmail.com",2000000.0,3000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,Mumbai,2052,2500000.0
Salesforce developer,"Bengaluru, Karnataka",IO Tahoe LLC,"₹12,00,000 - ₹24,00,000 a year",Organic,"Salesforce & ServiceCloud Platform Developer
Io-Tahoe is seeking a certified Salesforce and Service Cloud developer who can deliver efficient and effective application solutions on the Salesforce platform using Apex, SOQL, Lightning, Visualforce.
The ideal candidate must have Salesforce certifications and would have experience in Salesforce and Service Cloud application design, development, configuration and implementation across a broad range of use cases including sales, customer service, partner, case management and technical use cases.
Our fast-growing automated data discovery firm works closely with organizations to help them understand complex data and drive value from their business data using data science and machine learning techniques.
If you have strong Salesforce development experience and are keen to working a small, fast-moving, multinational environment, we encourage you to apply for this central London based role (with ample work-at-home opportunity). The successful applicant will be in a key position, enabling our sales and client service teams to make an impact in an exciting, growing market.
Responsibilities
You will work closely with the Chief Technology Officer (CTO) to develop Salesforce and Service Cloud applications. Your responsibilities will include but not limited to:
§ Working closely with in-house designers, UI and UX experts to deliver the best possible user experience internally and externally
§ Understanding and synthesizing requirements from multiple stakeholders and to come up with efficient Salesforce and Service Cloud solutions
§ Building and optimising internal sales and service processes using Salesforce and Service Cloud
§ Building and integrating Salesforce and Service Cloud workflows for use by external customers with the Io-Tahoe platform
§ Participating in externally facing sales conversations for projects that involve integration with Salesforce and Service Cloud workflows
§ Building and integrating Salesforce and Service Cloud Virtual Assistants and Natural Language Processing APIs
§ Driving continuous improvement of all Salesforce and Service Cloud solutions built
§ Seamlessly integrating Salesforce and Service Cloud third party applications
About You
Io-Tahoe seeks a smart, creative, self-motivated, hands-on, and intellectually curious developer who can quickly and effectively turn Salesforce and Service Cloud requirements into end-to-end solutions.
To be considered for this role you must have Salesforce certifications such as:
· Platform App Builder
· Salesforce Certified Platform Developer I & II, B2C Commerce Developer, Marketing Cloud Developer
· Administrator, Advanced Administrator, CPQ Specialist, Marketing Cloud Administrator
· Sales Cloud Consultant, Service Cloud Consultant
You should have proven experience developing and configuring solutions using Salesforce, Service Cloud and related business applications and databases. You should be comfortable and experienced working on sales, marketing and customer service software with a broad team, capturing requirements, communicating ideas, writing code and constructing workflows that can easily be understood by others. You will be required to implement software at a high level of quality and take responsibility for the product and your contributions to it.
Additionally, you have:
§ Extensive experience of using Salesforce platform languages: Apex, SOQL, Lightning, Visualforce
§ Strong understanding and knowledge of Salesforce, Service Cloud in different use case contexts
§ Experience of related marketing automation and sales enablement tools such as Active Campaign and Outreach
§ Extensive experience of using advanced administration tools like Process Builders, Workflow, Approvals, etc.
§ Experience of building and using Virtual Assistants in Salesforce and Service Cloud
§ Experience of using NLP APIs for Virtual Assistants
§ Experience of integrating APIs between Salesforce, Service Cloud and other applications
§ Experience of preparing Salesforce and Service Cloud templates for use by external 3rd parties
§ Strong stakeholder management, requirements gathering and scoping skills
§ Some pre-sales type experience and an appreciate of the Enterprise software sales process
§ Excellent organizational skills with a strong attention to detail.
§ Highly independent and comfortable with Agile environments
Ideally:
§ You have experience with other object-oriented programming languages such as JAVA
§ You have a personal interest in technology, data science, automation, etc.
Benefits and Perks
Io-Tahoe offers a competitive compensation package and the opportunity to participate in developing unique data science and machine learning solutions in a rapidly expanding market category.
About Io-Tahoe
Io-Tahoe is a global leader in Enterprise Data Automation.
Our patent driven technologies significantly reduce the manual effort required for enterprise data users to better know, manage and drive value from their data assets.
Io-Tahoe enables enterprise customers to automatically discover, catalog, manage and drive business value from data wherever it is held. In doing so Io-Tahoe automates the ability for enterprises to automate workflows including Data Migrations, Data Quality, Data Governance and self -service Data Analytics.
Io-Tahoe also provides an intuitive user experience designed to help technical and non-technical people collaborate. Our team with a deep understanding of data challenges, giving us first-hand insight and appreciation into our customers’ diverse and complex data needs.
#KnowYourData
Io-Tahoe is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.
Job Type: Full-time
Salary: ₹1,200,000.00 - ₹2,400,000.00 per year
Experience:
9: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",1200000.0,2400000.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,na,na,Bengaluru,5991,1800000.0
Software Engineer ( C++),"Pune, Maharashtra",KNOREX,"₹2,40,000 - ₹10,00,000 a year",Organic,"About Knorex:
Established in 2010, Knorex provides programmatic advertising products and technologies to advertising buyers worldwide. With its cross-channel marketing cloud platform, Knorex XPO™ (https://knorex.com) enables ad buyers to self-serve and advertise real-time across the globe regardless of the media channels (social, search, OTT/CTV, video, web/mobile etc.), ad formats (display, native, search, social, video etc) and devices (desktop, laptop, smartphones and tablets) to deliver personalized marketing messages to the target audience in an automated way, powered by machine learning/AI. Underpinned by a multi-layered data-driven approach, XPO simplifies the execution and optimization of marketing campaigns, while delivering measurable and attributable performance.
As part of the platform offering, anyone can traffic their ads programmatically via automated buying through our in-house real-time bidder and optimizer. Such automated and auction-style of buying and selling of advertising inventory is called Real-time Bidding (RTB), and it is to some extent similar to how a financial stock exchange operates. Owing to the large and real-time stream of data, we would have to devise efficient algorithms to tackle the challenges. We are seeking for a Software Engineer with the zest and passion to join us in developing on RTB platform (coded in C++). You will be working with cross-disciplinary teams including Data Scientists, Performance Specialists and Software Engineers to build a highly scalable system that can handle billions of requests per day, all delivered within milliseconds.
In this role, you will be expected to possess solid experience working on large-scale, distributed and low-latency systems. You need to acquire a deep technical understanding of the platform, work with our cross-country team located regionally to learn about the business and technical analytics requirements and translate them into production system.

Key Responsibilities:
Plan, design and develop components in our RTB platform
Develop connectors to integrate with major ad exchanges
Develop metrics to measure the outcome/impact of your introduced solutions.
Work with other members to implement and integrate into our existing systems.
Document and improve the solutions over time.
Evaluate and identify new technologies for implementation.
Communicate with our business and technical teams to understand the analytics requirements.
Respond and follow up to incorporate feedback and draw new insights.
Prioritize tasks to meet multiple deadlines.
Requirements
At least 2 to 8 years of working experience using C++ to build large-scale, distributed, low-latency systems
Knowledge of Golang is a strong plus
Strong knowledge of algorithms and data structures
Strong in analytics and problem solving technique
Understanding of online advertising technology and RTB is a strong plus
Possess at least a Degree or Diploma in computer science / IT related;
Willingness to learn and able to pick up new technology or new concepts fast;
Able to work independently as well as in collaborative mode with minimum supervision;
Work productively even under pressure;
Possess good work ethic, attitude with good follow-through;
Excellent communication in written and spoken English.


Benefits
Ample opportunities to grow. You get to propose your own ideas and see it through
Work with passionate, talented and driven colleagues who get things done!
Opportunity to work cross-country and with variety of projects of different nature
Challenging and exciting problems that await you to solve
Comprehensive Health Insurance Coverage
Personal Development Fund for courses and materials",240000.0,1000000.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,na,na,Pune,3684,620000.0
